scenario_id,scenario_display_id,scenario_name,boundary_height,boundary_type,old_subsidy_rin,new_subsidy_rin,required_price_multiplier,required_price_growth_pct,interpretation,evidence_class
S1,S1,1/20 reduction without a floor,19530000,scheduled subsidy boundary,0.06505494,0.06180219,1.05263163,5.26316300,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,19740000,scheduled subsidy boundary,0.06180219,0.05871208,1.05263159,5.26315879,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,19950000,scheduled subsidy boundary,0.05871208,0.05577647,1.05263169,5.26316922,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,20160000,scheduled subsidy boundary,0.05577647,0.05298764,1.05263171,5.26317081,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,20370000,scheduled subsidy boundary,0.05298764,0.05033825,1.05263175,5.26317462,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,20580000,scheduled subsidy boundary,0.05033825,0.04782133,1.05263174,5.26317440,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,20790000,scheduled subsidy boundary,0.04782133,0.04543026,1.05263166,5.26316600,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,21000000,scheduled subsidy boundary,0.04543026,0.04315874,1.05263175,5.26317497,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,21210000,scheduled subsidy boundary,0.04315874,0.04100080,1.05263166,5.26316560,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,21420000,scheduled subsidy boundary,0.04100080,0.03895076,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,21630000,scheduled subsidy boundary,0.03895076,0.03700322,1.05263164,5.26316358,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,21840000,scheduled subsidy boundary,0.03700322,0.03515305,1.05263185,5.26318484,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,22050000,scheduled subsidy boundary,0.03515305,0.03339539,1.05263182,5.26318153,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,22260000,scheduled subsidy boundary,0.03339539,0.03172562,1.05263160,5.26315955,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,22470000,scheduled subsidy boundary,0.03172562,0.03013933,1.05263189,5.26318933,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,22680000,scheduled subsidy boundary,0.03013933,0.02863236,1.05263171,5.26317076,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,22890000,scheduled subsidy boundary,0.02863236,0.02720074,1.05263166,5.26316563,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,23100000,scheduled subsidy boundary,0.02720074,0.02584070,1.05263170,5.26317012,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,23310000,scheduled subsidy boundary,0.02584070,0.02454866,1.05263179,5.26317933,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,23520000,scheduled subsidy boundary,0.02454866,0.02332122,1.05263189,5.26318949,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,23730000,scheduled subsidy boundary,0.02332122,0.02215515,1.05263201,5.26320066,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,23940000,scheduled subsidy boundary,0.02215515,0.02104739,1.05263170,5.26317040,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,24150000,scheduled subsidy boundary,0.02104739,0.01999502,1.05263161,5.26316053,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,24360000,scheduled subsidy boundary,0.01999502,0.01899526,1.05263208,5.26320777,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,24570000,scheduled subsidy boundary,0.01899526,0.01804549,1.05263199,5.26319873,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,24780000,scheduled subsidy boundary,0.01804549,0.01714321,1.05263192,5.26319167,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,24990000,scheduled subsidy boundary,0.01714321,0.01628604,1.05263219,5.26321930,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,25200000,scheduled subsidy boundary,0.01628604,0.01547173,1.05263212,5.26321232,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,25410000,scheduled subsidy boundary,0.01547173,0.01469814,1.05263183,5.26318296,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,25620000,scheduled subsidy boundary,0.01469814,0.01396323,1.05263181,5.26318051,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,25830000,scheduled subsidy boundary,0.01396323,0.01326506,1.05263225,5.26322535,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,26040000,scheduled subsidy boundary,0.01326506,0.01260180,1.05263216,5.26321637,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,26250000,scheduled subsidy boundary,0.01260180,0.01197171,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
