scenario_id,scenario_display_id,boundary_height,subsidy_before_rin,subsidy_after_rin,required_additional_fee_base_units_per_block,required_additional_fee_rin_per_block,interpretation
S1,S1,8820000,0.88997331,0.84547464,4449867,0.04449867,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,9030000,0.84547464,0.80320090,4227374,0.04227374,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,9240000,0.80320090,0.76304085,4016005,0.04016005,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,9450000,0.76304085,0.72488880,3815205,0.03815205,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,9660000,0.72488880,0.68864436,3624444,0.03624444,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,9870000,0.68864436,0.65421214,3443222,0.03443222,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,10080000,0.65421214,0.62150153,3271061,0.03271061,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,10290000,0.62150153,0.59042645,3107508,0.03107508,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,10500000,0.59042645,0.56090512,2952133,0.02952133,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,10710000,0.56090512,0.53285986,2804526,0.02804526,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,10920000,0.53285986,0.50621686,2664300,0.02664300,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,11130000,0.50621686,0.48090601,2531085,0.02531085,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,11340000,0.48090601,0.45686070,2404531,0.02404531,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,11550000,0.45686070,0.43401766,2284304,0.02284304,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,11760000,0.43401766,0.41231677,2170089,0.02170089,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,11970000,0.41231677,0.39170093,2061584,0.02061584,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,12180000,0.39170093,0.37211588,1958505,0.01958505,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,12390000,0.37211588,0.35351008,1860580,0.01860580,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,12600000,0.35351008,0.33583457,1767551,0.01767551,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,12810000,0.33583457,0.31904284,1679173,0.01679173,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,13020000,0.31904284,0.30309069,1595215,0.01595215,fee increase needed to hold nominal RIN/block revenue unchanged
