scenario_id,scenario_display_id,horizon_years,height,price_path,fee_case,hardware_class,subsidy_base_units,fee_base_units_per_block,fee_share_of_gross_rin_revenue_pct,annual_gross_miner_revenue_rin,normalized_price_index,liquidity_realization_pct,annual_gross_miner_revenue_value_index,annual_realizable_miner_revenue_value_index,normalized_annual_break_even_cost,break_even_price_index,normalized_sustainable_hashrate_index,interpretation
S0,S0,2,1891200,stress,low,reference,9765625,0,0.00000000,51328.12500000,0.90250000,70.0,46323.63281250,32426.54296875,0.70000000,0.00001968,45860.39648438,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,low,efficient,9765625,0,0.00000000,51328.12500000,0.90250000,70.0,46323.63281250,32426.54296875,0.58000000,0.00001631,55348.75437769,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,low,high_cost,9765625,0,0.00000000,51328.12500000,0.90250000,70.0,46323.63281250,32426.54296875,0.90000000,0.00002530,35669.19726562,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,base,reference,9765625,10003,0.10232591,51380.70076800,0.90250000,70.0,46371.08244312,32459.75771018,0.70000000,0.00001966,45907.37161869,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,base,efficient,9765625,10003,0.10232591,51380.70076800,0.90250000,70.0,46371.08244312,32459.75771018,0.58000000,0.00001629,55405.44850531,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,base,high_cost,9765625,10003,0.10232591,51380.70076800,0.90250000,70.0,46371.08244312,32459.75771018,0.90000000,0.00002528,35705.73348120,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,high,reference,9765625,290698,2.89069872,52856.03368800,0.90250000,70.0,47702.57040342,33391.79928239,0.70000000,0.00001911,47225.54469939,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,high,efficient,9765625,290698,2.89069872,52856.03368800,0.90250000,70.0,47702.57040342,33391.79928239,0.58000000,0.00001583,56996.34705098,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,stress,high,high_cost,9765625,290698,2.89069872,52856.03368800,0.90250000,70.0,47702.57040342,33391.79928239,0.90000000,0.00002457,36730.97921063,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,low,reference,9765625,0,0.00000000,51328.12500000,1.00000000,90.0,51328.12500000,46195.31250000,0.70000000,0.00001531,65333.37053571,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,low,efficient,9765625,0,0.00000000,51328.12500000,1.00000000,90.0,51328.12500000,46195.31250000,0.58000000,0.00001268,78850.61961207,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,low,high_cost,9765625,0,0.00000000,51328.12500000,1.00000000,90.0,51328.12500000,46195.31250000,0.90000000,0.00001968,50814.84375000,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,base,reference,9765625,10003,0.10232591,51380.70076800,1.00000000,90.0,51380.70076800,46242.63069120,0.70000000,0.00001529,65400.29197755,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,base,efficient,9765625,10003,0.10232591,51380.70076800,1.00000000,90.0,51380.70076800,46242.63069120,0.58000000,0.00001267,78931.38686946,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,base,high_cost,9765625,10003,0.10232591,51380.70076800,1.00000000,90.0,51380.70076800,46242.63069120,0.90000000,0.00001966,50866.89376032,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,high,reference,9765625,290698,2.89069872,52856.03368800,1.00000000,90.0,52856.03368800,47570.43031920,0.70000000,0.00001486,67278.18002287,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,high,efficient,9765625,290698,2.89069872,52856.03368800,1.00000000,90.0,52856.03368800,47570.43031920,0.58000000,0.00001232,81197.80347588,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,flat,high,high_cost,9765625,290698,2.89069872,52856.03368800,1.00000000,90.0,52856.03368800,47570.43031920,0.90000000,0.00001911,52327.47335112,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,low,reference,9765625,0,0.00000000,51328.12500000,1.06090000,80.0,54454.00781250,43563.20625000,0.70000000,0.00001722,61610.82026786,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,low,efficient,9765625,0,0.00000000,51328.12500000,1.06090000,80.0,54454.00781250,43563.20625000,0.58000000,0.00001427,74357.88653017,revenue-supported normalized cost units; not measured hashrate
