scenario_id,scenario_display_id,scenario_name,horizon_label,horizon_years_after_activation,height,subsidy_base_units,subsidy_rin_display,next_year_issuance_base_units,next_year_issuance_rin_display,next_year_issuance_pct_of_scheduled_supply,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,remaining_scheduled_issuance_base_units,remaining_scheduled_issuance_rin_display,maximum_supply_ceiling_remaining_base_units,maximum_supply_ceiling_remaining_rin_display
S2b,S2/b,Bounded 1 RIN phase comparator,2 years,2.00000000,1891200,459432430,4.59432430,231869574579600,2318695.74579600,9.15237868,2533435105776000,25334351.05776000,14266564825974000,142665648.25974000,14266564894224000,142665648.94224000
S2b,S2/b,Bounded 1 RIN phase comparator,5 years,5.00000000,3468000,320838798,3.20838798,158530155716400,1585301.55716400,5.03329838,3149627617164000,31496276.17164000,13650372314586000,136503723.14586000,13650372382836000,136503723.82836000
S2b,S2/b,Bounded 1 RIN phase comparator,10 years,10.00000000,6096000,164700054,1.64700054,83044896382800,830448.96382800,2.20176157,3771747934674000,37717479.34674000,13028251997076000,130282519.97076000,13028252065326000,130282520.65326000
S2b,S2/b,Bounded 1 RIN phase comparator,25 years,25.00000000,13980000,100000000,1.00000000,52560000000000,525600.00000000,1.13586032,4627329531750000,46273295.31750000,12172670400000000,121726704.00000000,12172670468250000,121726704.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,50 years,50.00000000,27120000,100000000,1.00000000,52560000000000,525600.00000000,0.88465048,5941329531750000,59413295.31750000,10858670400000000,108586704.00000000,10858670468250000,108586704.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,100 years,100.00000000,53400000,100000000,1.00000000,52560000000000,525600.00000000,0.61335020,8569329531750000,85693295.31750000,8230670400000000,82306704.00000000,8230670468250000,82306704.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,200 years,200.00000000,105960000,100000000,1.00000000,52560000000000,525600.00000000,0.38017177,13825329531750000,138253295.31750000,2974670400000000,29746704.00000000,2974670468250000,29746704.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,250 years,250.00000000,132240000,100000000,1.00000000,52560000000000,525600.00000000,0.31944902,16453329531750000,164533295.31750000,346670400000000,3466704.00000000,346670468250000,3466704.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,500 years,500.00000000,263640000,0,0.00000000,0,0.00000000,0.00000000,16799999931750000,167999999.31750000,0,0.00000000,68250000,0.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,constant phase start,13.98401826,8190000,100000000,1.00000000,52560000000000,525600.00000000,1.29831328,4048329531750000,40483295.31750000,12751670400000000,127516704.00000000,12751670468250000,127516704.68250000
