scenario_id,scenario_display_id,scenario_name,height,subsidy_base_units,subsidy_rin_display,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,note
S4,S4,Idealized 113/114 cap-derived geometric schedule,193619999,191918,0.00191918,16795435004688082,167954350.04688082,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,193620000,190234,0.00190234,16795435004880000,167954350.04880000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,193620001,190234,0.00190234,16795435005070234,167954350.05070234,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,193829999,190234,0.00190234,16795474953829766,167954749.53829766,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,193830000,188565,0.00188565,16795474954020000,167954749.54020000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,193830001,188565,0.00188565,16795474954208565,167954749.54208565,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194039999,188565,0.00188565,16795514552481435,167955145.52481435,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194040000,186910,0.00186910,16795514552670000,167955145.52670000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194040001,186910,0.00186910,16795514552856910,167955145.52856910,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194249999,186910,0.00186910,16795553803583090,167955538.03583090,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194250000,185270,0.00185270,16795553803770000,167955538.03770000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194250001,185270,0.00185270,16795553803955270,167955538.03955270,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194459999,185270,0.00185270,16795592710284730,167955927.10284730,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194460000,183644,0.00183644,16795592710470000,167955927.10470000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194460001,183644,0.00183644,16795592710653644,167955927.10653644,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194669999,183644,0.00183644,16795631275526356,167956312.75526356,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194670000,182033,0.00182033,16795631275710000,167956312.75710000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194670001,182033,0.00182033,16795631275892033,167956312.75892033,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194879999,182033,0.00182033,16795669502457967,167956695.02457967,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194880000,180436,0.00180436,16795669502640000,167956695.02640000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,194880001,180436,0.00180436,16795669502820436,167956695.02820436,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195089999,180436,0.00180436,16795707394019564,167957073.94019564,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195090000,178853,0.00178853,16795707394200000,167957073.94200000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195090001,178853,0.00178853,16795707394378853,167957073.94378853,boundary probe
