scenario_id,scenario_display_id,boundary_height,boundary_type,subsidy_before_rin,subsidy_after_rin,required_additional_fee_rin_per_block,observed_window_days,observed_mean_total_fee_base_units_per_block,observed_median_total_fee_base_units_per_block,required_multiple_of_observed_mean_fee,required_multiple_of_observed_median_fee,median_fee_zero,observed_median_fee_per_non_coinbase_transaction_base_units,required_transactions_at_observed_median_transaction_fee,fee_share_before_boundary_pct,fee_share_after_boundary_with_observed_fees_pct,fee_share_after_boundary_if_revenue_fully_replaced_pct,evidence_class
S1,S1,14490000,scheduled subsidy boundary,0.22279949,0.21165951,0.01113998,90,10002.5482,0.0000,111.3714,,true,99999.0000,12,0.04487470,0.04723541,5.04263343,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,14700000,scheduled subsidy boundary,0.21165951,0.20107653,0.01058298,90,10002.5482,0.0000,105.8028,,true,99999.0000,11,0.04723541,0.04972025,5.04487576,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,14910000,scheduled subsidy boundary,0.20107653,0.19102270,0.01005383,90,10002.5482,0.0000,100.5127,,true,99999.0000,11,0.04972025,0.05233573,5.04723598,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,15120000,scheduled subsidy boundary,0.19102270,0.18147156,0.00955114,90,10002.5482,0.0000,95.4871,,true,99999.0000,10,0.05233573,0.05508873,5.04972156,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,15330000,scheduled subsidy boundary,0.18147156,0.17239798,0.00907358,90,10002.5482,0.0000,90.7127,,true,99999.0000,10,0.05508873,0.05798646,5.05233540,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,15540000,scheduled subsidy boundary,0.17239798,0.16377808,0.00861990,90,10002.5482,0.0000,86.1770,,true,99999.0000,9,0.05798646,0.06103651,5.05508771,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,15750000,scheduled subsidy boundary,0.16377808,0.15558917,0.00818891,90,10002.5482,0.0000,81.8682,,true,99999.0000,9,0.06103651,0.06424690,5.05798835,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,15960000,scheduled subsidy boundary,0.15558917,0.14780971,0.00777946,90,10002.5482,0.0000,77.7748,,true,99999.0000,8,0.06424690,0.06762603,5.06103552,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,16170000,scheduled subsidy boundary,0.14780971,0.14041922,0.00739049,90,10002.5482,0.0000,73.8861,,true,99999.0000,8,0.06762603,0.07118276,5.06424777,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,16380000,scheduled subsidy boundary,0.14041922,0.13339825,0.00702097,90,10002.5482,0.0000,70.1918,,true,99999.0000,8,0.07118276,0.07492642,5.06763003,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,16590000,scheduled subsidy boundary,0.13339825,0.12672833,0.00666992,90,10002.5482,0.0000,66.6822,,true,99999.0000,7,0.07492642,0.07886681,5.07118572,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,16800000,scheduled subsidy boundary,0.12672833,0.12039191,0.00633642,90,10002.5482,0.0000,63.3481,,true,99999.0000,7,0.07886681,0.08301425,5.07492623,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,17010000,scheduled subsidy boundary,0.12039191,0.11437231,0.00601960,90,10002.5482,0.0000,60.1807,,true,99999.0000,7,0.08301425,0.08737961,5.07886728,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,17220000,scheduled subsidy boundary,0.11437231,0.10865369,0.00571862,90,10002.5482,0.0000,57.1716,,true,99999.0000,6,0.08737961,0.09197431,5.08301456,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,17430000,scheduled subsidy boundary,0.10865369,0.10322100,0.00543269,90,10002.5482,0.0000,54.3131,,true,99999.0000,6,0.09197431,0.09681038,5.08738065,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,17640000,scheduled subsidy boundary,0.10322100,0.09805995,0.00516105,90,10002.5482,0.0000,51.5974,,true,99999.0000,6,0.09681038,0.10190048,5.09196987,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,17850000,scheduled subsidy boundary,0.09805995,0.09315695,0.00490300,90,10002.5482,0.0000,49.0175,,true,99999.0000,5,0.10190048,0.10725791,5.09680800,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,18060000,scheduled subsidy boundary,0.09315695,0.08849910,0.00465785,90,10002.5482,0.0000,46.5666,,true,99999.0000,5,0.10725791,0.11289669,5.10189769,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,18270000,scheduled subsidy boundary,0.08849910,0.08407414,0.00442496,90,10002.5482,0.0000,44.2383,,true,99999.0000,5,0.11289669,0.11883157,5.10725750,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,18480000,scheduled subsidy boundary,0.08407414,0.07987043,0.00420371,90,10002.5482,0.0000,42.0264,,true,99999.0000,5,0.11883157,0.12507805,5.11289356,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,18690000,scheduled subsidy boundary,0.07987043,0.07587690,0.00399353,90,10002.5482,0.0000,39.9251,,true,99999.0000,4,0.12507805,0.13165245,5.11883477,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,18900000,scheduled subsidy boundary,0.07587690,0.07208305,0.00379385,90,10002.5482,0.0000,37.9288,,true,99999.0000,4,0.13165245,0.13857193,5.12507641,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,19110000,scheduled subsidy boundary,0.07208305,0.06847889,0.00360416,90,10002.5482,0.0000,36.0324,,true,99999.0000,4,0.13857193,0.14585457,5.13165373,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,19320000,scheduled subsidy boundary,0.06847889,0.06505494,0.00342395,90,10002.5482,0.0000,34.2308,,true,99999.0000,4,0.14585457,0.15351935,5.13856986,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,19530000,scheduled subsidy boundary,0.06505494,0.06180219,0.00325275,90,10002.5482,0.0000,32.5192,,true,99999.0000,4,0.15351935,0.16158627,5.14584799,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,19740000,scheduled subsidy boundary,0.06180219,0.05871208,0.00309011,90,10002.5482,0.0000,30.8932,,true,99999.0000,4,0.16158627,0.17007635,5.15350777,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,19950000,scheduled subsidy boundary,0.05871208,0.05577647,0.00293561,90,10002.5482,0.0000,29.3486,,true,99999.0000,3,0.17007635,0.17901173,5.16158273,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,20160000,scheduled subsidy boundary,0.05577647,0.05298764,0.00278883,90,10002.5482,0.0000,27.8812,,true,99999.0000,3,0.17901173,0.18841567,5.17007278,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,20370000,scheduled subsidy boundary,0.05298764,0.05033825,0.00264939,90,10002.5482,0.0000,26.4872,,true,99999.0000,3,0.18841567,0.19831265,5.17900996,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,20580000,scheduled subsidy boundary,0.05033825,0.04782133,0.00251692,90,10002.5482,0.0000,25.1628,,true,99999.0000,3,0.19831265,0.20872841,5.18841189,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,20790000,scheduled subsidy boundary,0.04782133,0.04543026,0.00239107,90,10002.5482,0.0000,23.9046,,true,99999.0000,3,0.20872841,0.21969000,5.19829929,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,21000000,scheduled subsidy boundary,0.04543026,0.04315874,0.00227152,90,10002.5482,0.0000,22.7094,,true,99999.0000,3,0.21969000,0.23122593,5.20872087,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,21210000,scheduled subsidy boundary,0.04315874,0.04100080,0.00215794,90,10002.5482,0.0000,21.5739,,true,99999.0000,3,0.23122593,0.24336612,5.21967157,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,21420000,scheduled subsidy boundary,0.04100080,0.03895076,0.00205004,90,10002.5482,0.0000,20.4952,,true,99999.0000,3,0.24336612,0.25614205,5.23119781,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,21630000,scheduled subsidy boundary,0.03895076,0.03700322,0.00194754,90,10002.5482,0.0000,19.4704,,true,99999.0000,2,0.25614205,0.26958688,5.24334007,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,21840000,scheduled subsidy boundary,0.03700322,0.03515305,0.00185017,90,10002.5482,0.0000,18.4970,,true,99999.0000,2,0.26958688,0.28373548,5.25613179,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,22050000,scheduled subsidy boundary,0.03515305,0.03339539,0.00175766,90,10002.5482,0.0000,17.5721,,true,99999.0000,2,0.28373548,0.29862440,5.26956998,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,22260000,scheduled subsidy boundary,0.03339539,0.03172562,0.00166977,90,10002.5482,0.0000,16.6934,,true,99999.0000,2,0.29862440,0.31429208,5.28369467,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,22470000,scheduled subsidy boundary,0.03172562,0.03013933,0.00158629,90,10002.5482,0.0000,15.8589,,true,99999.0000,2,0.31429208,0.33077915,5.29860575,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,22680000,scheduled subsidy boundary,0.03013933,0.02863236,0.00150697,90,10002.5482,0.0000,15.0659,,true,99999.0000,2,0.33077915,0.34812801,5.31425176,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,22890000,scheduled subsidy boundary,0.02863236,0.02720074,0.00143162,90,10002.5482,0.0000,14.3126,,true,99999.0000,2,0.34812801,0.36638344,5.33072857,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,23100000,scheduled subsidy boundary,0.02720074,0.02584070,0.00136004,90,10002.5482,0.0000,13.5969,,true,99999.0000,2,0.36638344,0.38559246,5.34807525,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,23310000,scheduled subsidy boundary,0.02584070,0.02454866,0.00129204,90,10002.5482,0.0000,12.9171,,true,99999.0000,2,0.38559246,0.40580453,5.36633211,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,23520000,scheduled subsidy boundary,0.02454866,0.02332122,0.00122744,90,10002.5482,0.0000,12.2713,,true,99999.0000,2,0.40580453,0.42707158,5.38554270,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,23730000,scheduled subsidy boundary,0.02332122,0.02215515,0.00116607,90,10002.5482,0.0000,11.6577,,true,99999.0000,2,0.42707158,0.44944819,5.40575642,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,23940000,scheduled subsidy boundary,0.02215515,0.02104739,0.00110776,90,10002.5482,0.0000,11.0748,,true,99999.0000,2,0.44944819,0.47299152,5.42698701,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,24150000,scheduled subsidy boundary,0.02104739,0.01999502,0.00105237,90,10002.5482,0.0000,10.5210,,true,99999.0000,2,0.47299152,0.49776191,5.44934431,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,24360000,scheduled subsidy boundary,0.01999502,0.01899526,0.00099976,90,10002.5482,0.0000,9.9951,,true,99999.0000,1,0.49776191,0.52382292,5.47291860,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,24570000,scheduled subsidy boundary,0.01899526,0.01804549,0.00094977,90,10002.5482,0.0000,9.4953,,true,99999.0000,1,0.52382292,0.55124079,5.49766843,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,24780000,scheduled subsidy boundary,0.01804549,0.01714321,0.00090228,90,10002.5482,0.0000,9.0205,,true,99999.0000,1,0.55124079,0.58008535,5.52370906,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,24990000,scheduled subsidy boundary,0.01714321,0.01628604,0.00085717,90,10002.5482,0.0000,8.5695,,true,99999.0000,1,0.58008535,0.61043014,5.55113617,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,25200000,scheduled subsidy boundary,0.01628604,0.01547173,0.00081431,90,10002.5482,0.0000,8.1410,,true,99999.0000,1,0.61043014,0.64235200,5.57995745,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,25410000,scheduled subsidy boundary,0.01547173,0.01469814,0.00077359,90,10002.5482,0.0000,7.7339,,true,99999.0000,1,0.64235200,0.67593164,5.61025687,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,25620000,scheduled subsidy boundary,0.01469814,0.01396323,0.00073491,90,10002.5482,0.0000,7.3472,,true,99999.0000,1,0.67593164,0.71125411,5.64215533,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,25830000,scheduled subsidy boundary,0.01396323,0.01326506,0.00069817,90,10002.5482,0.0000,6.9799,,true,99999.0000,1,0.71125411,0.74840885,5.67575184,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,26040000,scheduled subsidy boundary,0.01326506,0.01260180,0.00066326,90,10002.5482,0.0000,6.6309,,true,99999.0000,1,0.74840885,0.78748903,5.71104078,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,26250000,scheduled subsidy boundary,0.01260180,0.01197171,0.00063009,90,10002.5482,0.0000,6.2993,,true,99999.0000,1,0.78748903,0.82859240,5.74811458,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,26460000,scheduled subsidy boundary,0.01197171,0.01137312,0.00059859,90,10002.5482,0.0000,5.9844,,true,99999.0000,1,0.82859240,0.87182266,5.78720005,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,26670000,scheduled subsidy boundary,0.01137312,0.01080446,0.00056866,90,10002.5482,0.0000,5.6852,,true,99999.0000,1,0.87182266,0.91728750,5.82826639,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,26880000,scheduled subsidy boundary,0.01080446,0.01026423,0.00054023,90,10002.5482,0.0000,5.4009,,true,99999.0000,1,0.91728750,0.96510051,5.87148732,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,27090000,scheduled subsidy boundary,0.01026423,0.00975101,0.00051322,90,10002.5482,0.0000,5.1309,,true,99999.0000,1,0.96510051,1.01538039,5.91692750,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,27300000,scheduled subsidy boundary,0.00975101,0.00926345,0.00048756,90,10002.5482,0.0000,4.8744,,true,99999.0000,1,1.01538039,1.06825166,5.96470781,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,27510000,scheduled subsidy boundary,0.00926345,0.00880027,0.00046318,90,10002.5482,0.0000,4.6306,,true,99999.0000,1,1.06825166,1.12384451,6.01491918,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,27720000,scheduled subsidy boundary,0.00880027,0.00836025,0.00044002,90,10002.5482,0.0000,4.3991,,true,99999.0000,1,1.12384451,1.18229581,6.06772532,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,27930000,scheduled subsidy boundary,0.00836025,0.00794223,0.00041802,90,10002.5482,0.0000,4.1791,,true,99999.0000,1,1.18229581,1.24374913,6.12326967,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,28140000,scheduled subsidy boundary,0.00794223,0.00754511,0.00039712,90,10002.5482,0.0000,3.9702,,true,99999.0000,1,1.24374913,1.30835461,6.18166736,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,28350000,scheduled subsidy boundary,0.00754511,0.00716785,0.00037726,90,10002.5482,0.0000,3.7716,,true,99999.0000,1,1.30835461,1.37626852,6.24299574,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,28560000,scheduled subsidy boundary,0.00716785,0.00680945,0.00035840,90,10002.5482,0.0000,3.5831,,true,99999.0000,1,1.37626852,1.44765667,6.30755829,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,28770000,scheduled subsidy boundary,0.00680945,0.00646897,0.00034048,90,10002.5482,0.0000,3.4039,,true,99999.0000,1,1.44765667,1.52269069,6.37538238,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,28980000,scheduled subsidy boundary,0.00646897,0.00614552,0.00032345,90,10002.5482,0.0000,3.2337,,true,99999.0000,1,1.52269069,1.60154918,6.44657899,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
