scenario_id,scenario_display_id,horizon_years,height,subsidy_rin_per_block,fee_share_pct,annual_realizable_miner_revenue_index,normalized_sustainable_hashrate_index,assumption_case
S6a,S6/a,0,840000,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6a,S6/a,1,1365600,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6a,S6/a,2,1891200,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6a,S6/a,5,3468000,2.00000000,0.00500125,946127.31819120,1338094.35001327,flat price / base fee / reference hardware
S6a,S6/a,10,6096000,1.00000000,0.01000200,473087.31819120,669080.63572755,flat price / base fee / reference hardware
S6a,S6/a,25,13980000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S6a,S6/a,50,27120000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S6a,S6/a,100,53400000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S6a,S6/a,250,132240000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S6a,S6/a,500,263640000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S6B,S6/b,0,840000,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6B,S6/b,1,1365600,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6B,S6/b,2,1891200,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6B,S6/b,5,3468000,2.00000000,0.00500125,946127.31819120,1338094.35001327,flat price / base fee / reference hardware
S6B,S6/b,10,6096000,1.00000000,0.01000200,473087.31819120,669080.63572755,flat price / base fee / reference hardware
S6B,S6/b,25,13980000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6B,S6/b,50,27120000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6B,S6/b,100,53400000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6B,S6/b,250,132240000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6B,S6/b,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S6c,S6/c,0,840000,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6c,S6/c,1,1365600,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6c,S6/c,2,1891200,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S6c,S6/c,5,3468000,2.00000000,0.00500125,946127.31819120,1338094.35001327,flat price / base fee / reference hardware
S6c,S6/c,10,6096000,1.00000000,0.01000200,473087.31819120,669080.63572755,flat price / base fee / reference hardware
S6c,S6/c,25,13980000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6c,S6/c,50,27120000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6c,S6/c,100,53400000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6c,S6/c,250,132240000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S6c,S6/c,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S7,S7,0,840000,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S7,S7,1,1365600,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S7,S7,2,1891200,4.00000000,0.00250069,1892207.31819120,2676121.77858470,flat price / base fee / reference hardware
S7,S7,5,3468000,2.00000000,0.00500125,946127.31819120,1338094.35001327,flat price / base fee / reference hardware
S7,S7,10,6096000,1.00000000,0.01000200,473087.31819120,669080.63572755,flat price / base fee / reference hardware
S7,S7,25,13980000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S7,S7,50,27120000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S7,S7,100,53400000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S7,S7,250,132240000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
S7,S7,500,263640000,0.60000000,0.01666889,283871.31819120,401475.15001327,flat price / base fee / reference hardware
