scenario_id,scenario_display_id,scenario_name,boundary_height,subsidy_before_base_units,subsidy_after_base_units,subsidy_before_rin,subsidy_after_rin,nominal_change_base_units,nominal_revenue_shock_pct,fee_replacement_base_units_per_block,fee_replacement_rin_per_block,boundary_type
S4,S4,Idealized 113/114 cap-derived geometric schedule,163380000,682660,676671,0.00682660,0.00676671,-5989,-0.87730349,5989,0.00005989,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,163590000,676671,670735,0.00676671,0.00670735,-5936,-0.87723576,5936,0.00005936,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,163800000,670735,664851,0.00670735,0.00664851,-5884,-0.87724660,5884,0.00005884,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,164010000,664851,659018,0.00664851,0.00659018,-5833,-0.87733943,5833,0.00005833,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,164220000,659018,653237,0.00659018,0.00653237,-5781,-0.87721428,5781,0.00005781,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,164430000,653237,647506,0.00653237,0.00647506,-5731,-0.87732324,5731,0.00005731,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,164640000,647506,641826,0.00647506,0.00641826,-5680,-0.87721195,5680,0.00005680,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,164850000,641826,636195,0.00641826,0.00636195,-5631,-0.87734059,5631,0.00005631,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,165060000,636195,630614,0.00636195,0.00630614,-5581,-0.87724676,5581,0.00005581,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,165270000,630614,625082,0.00630614,0.00625082,-5532,-0.87724028,5532,0.00005532,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,165480000,625082,619598,0.00625082,0.00619598,-5484,-0.87732489,5484,0.00005484,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,165690000,619598,614162,0.00619598,0.00614162,-5436,-0.87734305,5436,0.00005436,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,165900000,614162,608774,0.00614162,0.00608774,-5388,-0.87729296,5388,0.00005388,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,166110000,608774,603433,0.00608774,0.00603433,-5341,-0.87733707,5341,0.00005341,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,166320000,603433,598139,0.00603433,0.00598139,-5294,-0.87731364,5294,0.00005294,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,166530000,598139,592892,0.00598139,0.00592892,-5247,-0.87722085,5247,0.00005247,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,166740000,592892,587691,0.00592892,0.00587691,-5201,-0.87722553,5201,0.00005201,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,166950000,587691,582535,0.00587691,0.00582535,-5156,-0.87733180,5156,0.00005156,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,167160000,582535,577425,0.00582535,0.00577425,-5110,-0.87720051,5110,0.00005110,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,167370000,577425,572359,0.00577425,0.00572359,-5066,-0.87734338,5066,0.00005066,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,167580000,572359,567338,0.00572359,0.00567338,-5021,-0.87724662,5021,0.00005021,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,167790000,567338,562361,0.00567338,0.00562361,-4977,-0.87725483,4977,0.00004977,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,168000000,562361,557428,0.00562361,0.00557428,-4933,-0.87719454,4933,0.00004933,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,168210000,557428,552538,0.00557428,0.00552538,-4890,-0.87724334,4890,0.00004890,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,168420000,552538,547691,0.00552538,0.00547691,-4847,-0.87722473,4847,0.00004847,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,168630000,547691,542886,0.00547691,0.00542886,-4805,-0.87731951,4805,0.00004805,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,168840000,542886,538123,0.00542886,0.00538123,-4763,-0.87734810,4763,0.00004763,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,169050000,538123,533402,0.00538123,0.00533402,-4721,-0.87730872,4721,0.00004721,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,169260000,533402,528723,0.00533402,0.00528723,-4679,-0.87719956,4679,0.00004679,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,169470000,528723,524085,0.00528723,0.00524085,-4638,-0.87720791,4638,0.00004638,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,169680000,524085,519487,0.00524085,0.00519487,-4598,-0.87733860,4598,0.00004598,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,169890000,519487,514930,0.00519487,0.00514930,-4557,-0.87721156,4557,0.00004557,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,170100000,514930,510413,0.00514930,0.00510413,-4517,-0.87720661,4517,0.00004517,scheduled subsidy boundary
